stockCode,closePrice,prevClosePrice,openPrice,highest,lowest,turnOverRate,ampRate,tmCap
sz000560,2.45,2.52,2.48,2.53,2.43,7.64,3.97,55.25
sz000810,9.79,9.98,9.83,10.1,9.7,6.18,4.01,109.41
sz000901,9.32,9.31,9.32,9.68,9.28,8.47,4.3,74.39
sz002428,12.32,12.21,12.22,12.4,12.02,5.48,3.11,80.45
sz002607,1.92,1.98,1.98,2.01,1.92,8.29,4.55,96.55
sz300088,4.83,5.01,5.0,5.02,4.8,5.17,4.39,117.98
sz300130,16.03,16.6,16.57,16.83,15.99,7.83,5.06,68.49
sz300131,5.4,5.64,5.54,5.7,5.39,9.97,5.5,56.42
sz300180,4.08,4.17,4.09,4.21,4.02,6.82,4.56,60.61
sz300181,12.23,12.6,12.53,12.64,11.95,5.3,5.48,73.51
sz300182,4.07,4.1,4.13,4.23,4.06,6.02,4.15,91.16
sz300284,6.48,6.5,6.55,6.82,6.47,5.56,5.38,58.52
sz300337,7.99,8.2,8.28,8.39,7.95,7.45,5.37,56.84
sz300342,12.57,13.0,12.95,13.15,12.55,5.18,4.62,52.51
sz300602,14.05,14.92,14.85,14.85,14.01,5.83,5.63,55.04
sz300917,30.43,30.99,30.3,31.3,30.05,5.98,4.03,51.43
sh600114,14.93,15.5,15.5,15.78,14.9,8.3,5.68,92.03
sh600501,15.07,14.92,14.92,15.33,14.7,8.88,4.22,63.99
sh603663,14.45,15.0,15.0,15.25,14.4,5.35,5.67,61.1
