stockName,stockCode,curr,prevClosed,open,increase,highest,lowest,turnOver,amp,tm
申万宏源,sz000166,5.72,5.2,5.63,10.0,5.72,5.35,2.19,7.12,1289.03
福晶科技,sz002222,26.79,24.42,25.55,9.71,26.85,25.2,7.23,6.76,125.42
东方钽业,sz000962,11.92,11.07,11.52,7.68,11.99,11.16,7.36,7.5,59.08
长城证券,sz002939,9.19,8.35,8.95,10.06,9.19,8.65,4.76,6.47,320.51
清新环境,sz002573,4.07,3.75,3.88,8.53,4.11,3.84,1.54,7.2,57.08
金信诺,sz300252,8.58,7.46,7.77,15.01,8.67,7.58,11.13,14.61,46.08
首开股份,sh600376,3.31,3.01,3.27,9.97,3.31,3.02,8.89,9.63,85.38
金太阳,sz300606,22.67,19.8,20.26,14.49,23.0,19.81,18.85,16.11,27.05
贝泰妮,sz300957,62.42,52.48,56.76,18.94,62.7,55.59,3.85,13.55,264.41
五洲新春,sh603667,16.65,15.24,15.8,9.25,16.65,15.11,7.74,10.1,60.97
霍莱沃,sh688682,33.5,28.13,29.5,19.09,33.76,28.56,4.45,18.49,24.37
艾力斯,sh688578,55.18,49.0,53.27,12.61,56.65,51.5,3.12,10.51,248.31
东方盛虹,sz000301,9.28,8.55,8.83,8.54,9.3,8.76,0.85,6.32,510.12
华东医药,sz000963,34.99,32.41,33.4,7.96,35.17,32.91,1.92,6.97,612.64
鱼跃医疗,sz002223,38.28,35.55,36.6,7.68,38.6,36.5,2.22,5.91,359.32
明牌珠宝,sz002574,4.95,4.56,4.75,8.55,4.99,4.51,4.27,10.53,26.14
卫宁健康,sz300253,7.39,6.29,6.78,17.49,7.43,6.59,6.35,13.35,137.57
建工修复,sz300958,12.43,11.06,11.45,12.39,12.77,11.3,12.32,13.29,11.32
昂利康,sz002940,15.15,14.14,14.55,7.14,15.3,14.17,3.9,7.99,28.07
拓斯达,sz300607,12.49,11.08,11.62,12.73,12.86,11.3,7.41,14.08,35.66
宁沪高速,sh600377,14.27,13.4,13.56,6.49,14.34,13.4,1.03,7.01,542.57
美的集团,sz000333,76.06,73.0,73.16,4.19,76.9,72.03,1.82,6.67,5232.79
大千生态,sh603955,8.92,8.32,8.41,7.21,9.04,8.36,7.24,8.17,12.11
交建股份,sh603815,6.4,5.9,6.09,8.47,6.47,6.01,3.29,7.8,39.61
天保基建,sz000965,3.62,3.34,3.49,8.38,3.67,3.21,14.77,13.77,40.18
群兴玩具,sz002575,5.4,5.05,5.2,6.93,5.51,5.07,2.63,8.71,31.79
新疆交建,sz002941,11.19,10.17,10.72,10.03,11.19,10.44,6.05,7.37,71.59
仟源医药,sz300254,9.4,8.38,8.54,12.17,9.68,8.42,12.59,15.04,21.15
三 力 士,sz002224,4.36,4.07,4.15,7.13,4.38,4.14,3.23,5.9,35.15
思特奇,sz300608,13.2,11.0,11.98,20.0,13.2,11.3,19.15,17.27,36.31
线上线下,sz300959,31.0,27.44,28.32,12.97,31.64,27.72,7.98,14.29,16.21
昊华科技,sh600378,31.75,29.15,29.98,8.92,31.99,29.98,0.69,6.9,289.13
必易微,sh688045,29.76,25.49,26.97,16.75,30.47,25.99,8.11,17.58,10.98
聚合顺,sh605166,10.97,10.27,10.68,6.82,11.0,10.29,2.95,6.91,34.62
潍柴动力,sz000338,15.87,14.56,15.18,9.0,15.98,14.83,3.85,7.9,788.61
濮耐股份,sz002225,4.03,3.73,3.97,8.04,4.05,3.76,5.96,7.77,33.27
长源电力,sz000966,4.83,4.47,4.59,8.05,4.88,4.53,2.15,7.83,132.79
通达动力,sz002576,13.44,12.42,12.82,8.21,13.58,12.55,7.65,8.29,21.78
新农股份,sz002942,13.53,12.51,13.16,8.15,13.63,12.61,2.12,8.15,18.94
常山药业,sz300255,13.05,11.23,11.88,16.21,13.26,11.61,6.61,14.69,119.53
通业科技,sz300960,23.45,20.54,21.13,14.17,24.13,20.6,9.58,17.19,21.8
汇纳科技,sz300609,30.45,26.52,27.69,14.82,31.57,27.21,8.79,16.44,36.51
睿昂基因,sh688217,18.37,15.99,16.97,14.88,18.59,16.57,5.5,12.63,10.26
宝光股份,sh600379,10.12,9.43,9.61,7.32,10.23,9.42,7.36,8.59,33.42
剑桥科技,sh603083,34.16,31.05,32.52,10.02,34.16,31.63,14.28,8.15,90.55
东来技术,sh688129,14.1,12.64,13.0,11.55,14.3,12.83,2.09,11.63,16.99
雷柏科技,sz002577,15.0,13.69,14.12,9.57,15.06,13.8,6.0,9.2,42.43
盈峰环境,sz000967,4.68,4.34,4.46,7.83,4.73,4.44,1.24,6.68,148.14
许继电气,sz000400,34.19,32.24,33.02,6.05,34.6,32.33,3.56,7.04,344.74
江南化工,sz002226,4.58,4.21,4.38,8.79,4.62,4.33,2.29,6.89,121.32
宇晶股份,sz002943,22.44,21.05,21.8,6.6,22.88,20.91,13.91,9.36,27.17
星星科技,sz300256,3.19,2.66,2.77,19.92,3.19,2.72,17.96,17.67,52.42
健康元,sh600380,11.87,10.94,11.41,8.5,11.98,11.24,2.33,6.76,222.47
晨化股份,sz300610,9.73,8.67,9.1,12.23,9.93,8.85,5.9,12.46,15.69
深水海纳,sz300961,8.49,7.5,7.69,13.2,8.58,7.58,8.76,13.33,12.82
永新光学,sh603297,70.87,65.84,70.0,7.64,72.0,66.37,3.29,8.55,78.28
华正新材,sh603186,25.4,23.09,24.1,10.0,25.4,23.26,8.38,9.27,36.07
哈铁科技,sh688459,9.63,8.79,8.98,9.56,9.78,8.91,7.19,9.9,16.48
欧科亿,sh688308,20.7,18.5,19.73,11.89,21.22,19.12,3.48,11.35,32.87
冀东水泥,sz000401,5.58,5.15,5.35,8.35,5.65,5.31,2.56,6.6,86.34
华林证券,sz002945,13.44,12.22,13.09,9.98,13.44,12.58,2.54,7.04,362.88
闽发铝业,sz002578,3.02,2.78,2.88,8.63,3.05,2.8,4.92,8.99,26.01
奥 特 迅,sz002227,9.81,9.08,9.22,8.04,9.95,9.05,8.39,9.91,24.29
蓝焰控股,sz000968,6.71,6.22,6.4,7.88,6.8,6.36,2.36,7.07,64.92
开山股份,sz300257,9.7,8.55,8.83,13.45,9.72,8.81,4.0,10.64,92.59
ST春天,sh600381,3.04,3.0,3.09,1.33,3.12,2.9,6.02,7.33,17.85
中金辐照,sz300962,15.86,14.15,14.5,12.08,15.96,14.21,4.47,12.37,41.87
天马科技,sh603668,13.79,12.79,13.1,7.82,14.0,12.96,3.54,8.13,69.27
莱尔科技,sh688683,17.17,14.77,15.5,16.25,17.36,14.83,1.46,17.13,26.64
美力科技,sz300611,10.2,8.98,9.27,13.59,10.44,9.19,10.86,13.92,15.13
山大地纬,sh688579,9.49,8.25,8.61,15.03,9.63,8.61,2.91,12.36,37.96
合兴包装,sz002228,2.91,2.71,2.76,7.38,2.94,2.72,2.85,8.12,35.47
安泰科技,sz000969,9.78,8.94,9.18,9.4,9.79,9.15,4.59,7.16,100.34
金 融 街,sz000402,3.5,3.18,3.5,10.06,3.5,3.5,0.43,0.0,104.59
中京电子,sz002579,7.93,7.21,7.5,9.99,7.93,7.3,8.54,8.74,46.14
新乳业,sz002946,12.34,11.22,11.89,9.98,12.34,11.75,2.93,5.26,105.08
中洲特材,sz300963,8.87,7.8,8.13,13.72,8.99,7.83,8.53,14.87,17.79
精锻科技,sz300258,9.12,8.02,8.36,13.72,9.25,8.24,5.02,12.59,42.2
宣亚国际,sz300612,16.7,14.57,15.08,14.62,16.94,14.77,11.35,14.89,30.04
广东明珠,sh600382,4.15,3.88,4.0,6.96,4.17,3.88,3.97,7.47,28.82
威派格,sh603956,5.33,4.86,5.1,9.67,5.35,4.94,2.81,8.44,27.01
顾家家居,sh603816,31.07,29.63,31.2,4.86,32.59,30.06,4.44,8.54,255.36
派林生物,sz000403,24.77,22.82,24.04,8.55,25.0,23.6,3.13,6.13,170.0
鸿博股份,sz002229,11.64,10.58,11.17,10.02,11.64,10.92,17.64,6.81,57.4
中科三环,sz000970,9.64,8.85,9.13,8.93,9.69,9.12,4.0,6.44,117.2
富瀚微,sz300613,42.9,36.49,37.82,17.57,43.05,37.12,6.85,16.25,93.34
恒铭达,sz002947,34.27,31.3,32.16,9.49,34.28,31.31,11.34,9.49,55.36
新天科技,sz300259,3.31,2.83,2.96,16.96,3.34,2.86,4.75,16.96,38.71
圣阳股份,sz002580,7.61,6.98,7.26,9.03,7.66,7.07,6.76,8.45,34.42
本川智能,sz300964,40.46,34.22,35.78,18.23,40.94,34.53,14.28,18.73,21.87
药康生物,sh688046,14.79,12.71,13.31,16.37,15.2,13.15,3.95,16.13,30.16
未名医药,sz002581,10.8,9.82,10.21,9.98,10.8,10.1,2.95,7.13,43.29
金地集团,sh600383,5.47,4.97,5.47,10.06,5.47,5.28,5.78,3.82,246.95
长虹华意,sz000404,7.1,6.61,6.79,7.41,7.15,6.64,5.68,7.72,49.2
*ST高升,sz000971,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,4.66
百川畅银,sz300614,10.79,9.32,9.7,15.77,11.0,9.61,4.57,14.91,17.31
新莱应材,sz300260,24.28,20.37,21.7,19.19,24.33,21.15,10.59,15.61,69.84
青岛银行,sz002948,3.78,3.51,3.57,7.69,3.8,3.55,3.09,7.12,117.55
科大讯飞,sz002230,44.44,40.4,42.38,10.0,44.44,42.26,5.06,5.4,970.79
*ST恒宇,sz300965,29.09,25.68,26.31,13.28,29.2,26.27,10.42,11.41,4.78
北巴传媒,sh600386,4.04,3.74,3.88,8.02,4.09,3.71,6.83,10.16,32.58
隆鑫通用,sh603766,7.91,7.49,7.81,5.61,8.05,7.45,3.18,8.01,162.44
江苏北人,sh688218,17.3,15.34,16.03,12.78,17.49,15.52,6.42,12.84,20.5
晶华微,sh688130,22.69,19.2,20.0,18.18,23.0,19.5,11.32,18.23,6.8
天成自控,sh603085,9.48,8.68,8.99,9.22,9.51,8.6,6.25,10.48,35.1
胜利股份,sz000407,3.19,2.96,3.03,7.77,3.23,2.96,4.47,9.12,27.94
好想你,sz002582,6.28,5.87,6.0,6.98,6.36,5.76,15.89,10.22,21.56
华阳国际,sz002949,11.54,10.49,10.81,10.01,11.54,10.81,6.38,6.96,17.26
中基健康,sz000972,2.94,2.72,2.77,8.09,2.98,2.73,9.05,9.19,22.68
奥维通信,sz002231,5.52,5.07,5.18,8.88,5.54,5.07,22.24,9.27,16.27
共同药业,sz300966,17.97,15.9,16.28,13.02,18.37,16.0,10.43,14.91,13.5
*ST海越,sh600387,2.95,2.81,2.89,4.98,2.95,2.82,4.29,4.63,11.92
雅本化学,sz300261,6.97,6.03,6.2,15.59,7.09,6.18,6.18,15.09,65.24
欣天科技,sz300615,13.03,11.34,11.66,14.9,13.17,11.25,20.7,16.93,17.07
海容冷链,sh603187,11.81,10.79,11.24,9.45,11.84,11.04,4.43,7.41,45.63
海能达,sz002583,6.67,6.06,6.06,10.07,6.67,6.06,26.22,10.07,85.53
金科环境,sh688466,13.06,11.72,12.18,11.43,13.23,12.15,1.28,9.22,16.08
恒誉环保,sh688309,13.29,11.87,12.24,11.96,13.48,12.2,1.77,10.78,10.63
杭叉集团,sh603298,21.74,20.35,20.8,6.83,21.87,20.8,1.21,5.26,284.75
藏格矿业,sz000408,28.75,27.08,28.0,6.17,29.28,27.34,1.76,7.16,454.37
佛塑科技,sz000973,4.34,4.03,4.16,7.69,4.38,4.09,3.95,7.2,41.99
*ST巴安,sz300262,0.68,0.68,0.0,0.0,0.0,0.0,0.0,0.0,4.54
启明信息,sz002232,21.17,19.46,19.72,8.79,21.32,19.72,18.86,8.22,86.49
尚品宅配,sz300616,16.5,14.37,16.0,14.82,17.09,14.33,22.16,19.21,25.73
